CustomerID,Gender,SeniorCitizen,TenureMonths,Contract,PaperlessBilling,PaymentMethod,InternetService,OnlineSecurity,TechSupport,MonthlyCharges,TotalCharges,SupportTickets,PaymentDelays,Churn
CUST-10000,Male,0,52,One year,No,Bank transfer (automatic),Fiber optic,No,Yes,103.33,5273.6,5,2,No
CUST-10001,Female,0,4,Month-to-month,No,Electronic check,DSL,No,No,104.76,475.23,1,1,Yes
CUST-10002,Male,0,34,Month-to-month,Yes,Bank transfer (automatic),Fiber optic,No,No,80.51,2661.24,2,1,Yes
CUST-10003,Male,1,69,Month-to-month,No,Electronic check,No,No,Yes,93.02,6468.85,1,0,No
CUST-10004,Male,0,33,Month-to-month,Yes,Mailed check,DSL,Yes,No,54.33,1812.42,1,1,Yes
CUST-10005,Female,0,69,Month-to-month,No,,No,No,Yes,118.59,8177.91,1,1,No
CUST-10006,Male,1,38,Month-to-month,Yes,Electronic check,Fiber optic,Yes,No,46.35,1756.32,1,0,Yes
CUST-10007,Male,0,26,Two year,Yes,Bank transfer (automatic),Fiber optic,Yes,Yes,77.55,2003.66,3,2,Yes
CUST-10008,Male,1,1,Two year,Yes,Credit card (automatic),Fiber optic,Yes,No,46.6,46.6,2,0,Yes
CUST-10009,Female,1,4,Two year,No,Credit card (automatic),DSL,Yes,Yes,29.51,,0,1,No
CUST-10010,Male,0,39,Month-to-month,No,Electronic check,No,No,No,75.29,,2,3,Yes
CUST-10011,Male,1,54,Month-to-month,No,Credit card (automatic),Fiber optic,No,Yes,53.76,2968.16,3,1,Yes
CUST-10012,Male,0,33,Month-to-month,No,Mailed check,Fiber optic,No,No,76.86,2492.83,0,1,Yes
CUST-10013,Male,0,33,One year,Yes,Mailed check,Fiber optic,No,No,74.4,2468.58,0,0,No
CUST-10014,Female,0,72,Two year,No,Credit card (automatic),Fiber optic,No,No,72.75,5242.8,0,0,No
CUST-10015,Male,1,20,Month-to-month,No,Credit card (automatic),No,No,No,30.64,605.69,1,1,Yes
CUST-10016,Female,0,16,Month-to-month,Yes,Mailed check,Fiber optic,Yes,No,62.49,949.7,1,2,Yes
CUST-10017,Female,0,21,One year,Yes,Credit card (automatic),No,No,Yes,99.86,2119.35,2,0,Yes
CUST-10018,Female,0,45,Two year,Yes,Credit card (automatic),Fiber optic,Yes,Yes,49.92,2288.7,1,0,No
CUST-10019,Male,0,62,Two year,Yes,Bank transfer (automatic),DSL,Yes,Yes,62.86,3855.63,3,0,No
CUST-10020,Female,0,31,One year,No,Bank transfer (automatic),No,Yes,No,67.88,2202.06,2,0,No
CUST-10021,Male,0,42,Two year,Yes,Credit card (automatic),Fiber optic,Yes,No,104.95,4484.0,1,0,No
CUST-10022,Female,0,12,Month-to-month,No,Credit card (automatic),Fiber optic,No,No,84.14,1037.09,2,1,Yes
CUST-10023,Female,0,65,Two year,No,Bank transfer (automatic),No,No,Yes,28.32,1779.21,1,0,No
CUST-10024,Female,0,3,Two year,Yes,Bank transfer (automatic),DSL,Yes,Yes,105.2,335.67,1,3,Yes
CUST-10025,Female,0,9,Two year,Yes,Credit card (automatic),Fiber optic,No,Yes,101.87,930.93,0,1,Yes
CUST-10026,Female,0,51,Month-to-month,Yes,Bank transfer (automatic),DSL,Yes,No,93.99,4819.15,2,0,No
CUST-10027,Female,1,16,Month-to-month,Yes,Mailed check,Fiber optic,Yes,No,65.09,1120.96,1,1,Yes
CUST-10028,Female,0,3,Month-to-month,Yes,Electronic check,No,Yes,No,94.38,274.34,1,2,Yes
CUST-10029,Female,1,24,Month-to-month,No,Mailed check,No,Yes,Yes,66.36,1695.03,2,0,Yes
CUST-10030,Male,0,13,Two year,Yes,Bank transfer (automatic),Fiber optic,No,No,92.28,1219.97,0,0,No
CUST-10031,Male,0,2,Month-to-month,No,Mailed check,No,Yes,No,106.7,,2,1,Yes
CUST-10032,Female,0,71,Month-to-month,Yes,Electronic check,No,No,No,107.75,7770.22,0,0,No
CUST-10033,Female,0,21,One year,No,Bank transfer (automatic),Fiber optic,Yes,Yes,63.94,1384.23,2,0,No
CUST-10034,Female,0,19,Month-to-month,No,Mailed check,DSL,No,Yes,104.61,,2,0,Yes
CUST-10035,Male,0,47,Month-to-month,No,Mailed check,Fiber optic,No,Yes,28.45,1341.36,1,2,Yes
CUST-10036,Female,0,22,Month-to-month,Yes,Electronic check,No,No,No,28.48,658.32,0,0,No
CUST-10037,Male,0,33,One year,Yes,Bank transfer (automatic),No,Yes,No,73.35,2413.01,2,1,No
CUST-10038,Male,0,32,Month-to-month,Yes,Credit card (automatic),Fiber optic,Yes,Yes,83.76,2687.02,1,0,Yes
CUST-10039,Male,0,64,Two year,No,Bank transfer (automatic),No,No,No,33.63,2111.46,3,0,No
CUST-10040,Male,0,39,Month-to-month,No,Electronic check,DSL,No,No,65.7,2478.04,2,0,Yes
CUST-10041,Male,0,72,Two year,Yes,Electronic check,DSL,Yes,No,27.73,2001.88,0,0,No
